business_id,name,city,state,is_open,dataset,review_count,business_star_avg,business_star_std,business_star_min,business_star_max,business_star_median,weighted_star_avg,sentiment_avg,sentiment_std,sentiment_median,dominant_emotion,avg_word_count,avg_subjectivity,avg_negation,avg_type_token_ratio,avg_noun_pct,avg_verb_pct,avg_adj_pct,avg_adv_pct,avg_person_mentions,avg_location_mentions,avg_product_mentions,primary_industry
--LC8cIrALInl2vyo701tg,Studio G Salon,Tampa,FL,1,hair,8,4.75,0.4629100498862757,4.0,5.0,5.0,0.0238486438784881,0.85,0.0,0.85,joy,150.0,0.1394241718426501,0.0,0.9037100842521324,0.3065295031055901,0.2421894409937888,0.0966796066252587,0.0427445652173913,0.0,0.0,0.0,Hair Salons
-0fOUV_llBAPMo7exZFHPA,Loft Studios Salon & Spa,Saint Louis,MO,1,hair,6,4.333333333333333,1.632993161855452,1.0,5.0,5.0,0.0035687735120841,0.85,0.0,0.85,joy,150.0,0.1907070707070707,0.0,0.9184464785151284,0.2621212121212121,0.2191919191919192,0.1264646464646464,0.0642424242424242,0.0,0.0,0.0,Hair Salons
-0i2KNr7WrCsDF5m0IViJg,Estela's Mexican Restaurant,Tampa,FL,0,chipotle,48,2.520833333333333,1.3367089362093172,1.0,5.0,2.0,0.0001086985641683,0.85,0.0,0.85,joy,150.0,0.1803893112195458,0.0,0.9309487979543252,0.2677559465300216,0.2126587612919611,0.1154772598982648,0.0649120513212809,0.0,0.0,0.0,Mexican Restaurant
-0m4IwD1FIOqkA8dh4mVfQ,Chipotle Mexican Grill,Smyrna,TN,1,chipotle,39,1.9230769230769231,1.3452570755027766,1.0,5.0,1.0,0.0357189783425527,0.85,0.0,0.85,joy,150.0,0.1490743924267951,0.0,0.9072779326783904,0.2760102013420091,0.1955066558155803,0.0908386756899342,0.0582357167368609,0.0,0.0,0.0,Mexican Restaurant
-1VF4NdEN07IB8nePQbAqQ,Fantastic Sams Cut & Color,South Pasadena,FL,1,hair,13,3.3076923076923075,1.702185623672077,1.0,5.0,4.0,0.0302515081056805,0.8499999999999999,0.0,0.85,joy,150.0,0.1596881490861424,0.0,0.9226302682824422,0.2701269577690982,0.2249517483631196,0.0965154188063887,0.0631727302797536,0.0,0.0,0.0,Hair Salons
-2mctVTqFR5-DDCXKvMNPA,Great Clips,Indianapolis,IN,1,hair,6,3.1666666666666665,1.7224014243685084,1.0,5.0,4.0,0.0359446400370003,0.85,0.0,0.85,joy,150.0,0.1612279628583976,0.0,0.9443048497396324,0.2886395005960223,0.2023887947800991,0.0773221343873517,0.0839058284710458,0.0,0.0,0.0,Hair Salons
-2slH9PUjJ9YK16b0hGxWg,Happy Nail and spa,Tampa,FL,1,hair,65,3.4307692307692306,1.610213793736242,1.0,5.0,4.0,0.0250832507450856,0.85,0.0,0.85,joy,150.0,0.1557353578150092,0.0,0.9264607519453496,0.271014202282817,0.226982048775219,0.0934727141791039,0.0622626436359053,0.0,0.0,0.0,Hair Salons
-54atFVRfQrMja7avLXSQw,Zoë Sky Salon,Elkins Park,PA,1,hair,8,4.5,1.4142135623730951,1.0,5.0,5.0,0.0446711668889324,0.85,0.0,0.85,joy,150.0,0.1725549669628616,0.0,0.8962278885619847,0.2632611357940305,0.2197589143312827,0.1324668204602415,0.0400881465026201,0.0,0.0,0.0,Hair Salons
-5LzSdkohuiRPOLi0GGCJQ,Giovanni & Pileggi,Philadelphia,PA,1,hair,7,3.857142857142857,1.9518001458970664,1.0,5.0,5.0,0.0517755227333871,0.85,0.0,0.85,joy,150.0,0.1718398187963405,0.0,0.9414818514818516,0.2610200289703395,0.2210878286654684,0.110475179295055,0.0613646395012854,0.0,0.0,0.0,Hair Salons
-5Xfp4_pojZjGgOevX4iiw,Algie Hailey's Barber Shop,Metairie,LA,1,hair,20,4.35,1.1367080817685318,1.0,5.0,5.0,0.0079090064376142,0.85,0.0,0.85,joy,150.0,0.15489400261873,0.0,0.9386198884067876,0.3000620532381873,0.2067868245072108,0.0987096812305117,0.0561843213882182,0.0,0.0,0.0,Hair Salons
